,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
170,brasileiro-a,2017,13,13-07,Avaí,Coritiba,1,4,VISITANTE,19.0,10.0,0.13,0.47,0.43,0.37
171,brasileiro-a,2017,13,13-07,Flamengo,Grêmio,0,1,VISITANTE,4.0,2.0,0.27,0.87,0.53,0.63
172,brasileiro-a,2017,13,13-07,São Paulo,Atlético-GO,2,2,EMPATE,17.0,20.0,0.07,0.07,0.23,0.27
173,brasileiro-a,2017,13,13-07,Sport Recife,Chapecoense,3,0,MANDANTE,5.0,16.0,0.13,0.67,0.37,0.57
174,brasileiro-a,2017,13,12-07,Atlético-PR,Cruzeiro,0,2,VISITANTE,15.0,6.0,0.47,0.67,0.43,0.5
175,brasileiro-a,2017,13,12-07,Palmeiras,Corinthians,0,2,VISITANTE,7.0,1.0,0.87,0.8,0.93,0.53
176,brasileiro-a,2017,13,12-07,Vitória,Vasco,1,4,VISITANTE,18.0,8.0,0.47,0.47,0.43,0.37
177,brasileiro-a,2017,13,12-07,Fluminense,Botafogo,0,1,VISITANTE,11.0,9.0,0.47,0.47,0.43,0.37
178,brasileiro-a,2017,13,12-07,Atlético-MG,Santos,0,1,VISITANTE,12.0,3.0,0.53,0.73,0.57,0.53
179,brasileiro-a,2017,13,12-07,Ponte Preta,Bahia,0,3,VISITANTE,14.0,13.0,0.13,0.33,0.3,0.4
180,brasileiro-a,2017,12,10-07,Coritiba,Sport Recife,0,3,VISITANTE,12.0,6.0,0.53,0.2,0.5,0.43
181,brasileiro-a,2017,12,09-07,Botafogo,Atlético-MG,1,1,EMPATE,11.0,9.0,0.67,0.47,0.5,0.5
182,brasileiro-a,2017,12,09-07,Santos,São Paulo,3,2,MANDANTE,4.0,19.0,0.13,0.53,0.37,0.57
183,brasileiro-a,2017,12,09-07,Bahia,Fluminense,1,1,EMPATE,16.0,8.0,0.4,0.13,0.43,0.27
184,brasileiro-a,2017,12,09-07,Cruzeiro,Palmeiras,3,1,MANDANTE,7.0,5.0,0.8,0.27,0.53,0.37
185,brasileiro-a,2017,12,09-07,Grêmio,Avaí,0,2,VISITANTE,3.0,18.0,0.27,0.47,0.27,0.63
186,brasileiro-a,2017,12,09-07,Chapecoense,Atlético-PR,1,1,EMPATE,15.0,14.0,0.8,0.27,0.47,0.43
187,brasileiro-a,2017,12,08-07,Corinthians,Ponte Preta,2,0,MANDANTE,1.0,13.0,0.33,0.87,0.4,0.93
188,brasileiro-a,2017,12,08-07,Vasco,Flamengo,0,1,VISITANTE,10.0,2.0,0.87,0.47,0.63,0.53
189,brasileiro-a,2017,12,08-07,Atlético-GO,Vitória,1,2,VISITANTE,20.0,17.0,0.33,0.27,0.27,0.23
190,brasileiro-a,2017,11,03-07,Fluminense,Chapecoense,3,3,EMPATE,7.0,15.0,0.2,0.33,0.44,0.44
191,brasileiro-a,2017,11,02-07,Avaí,Ponte Preta,0,0,EMPATE,19.0,11.0,0.47,0.27,0.41,0.26
192,brasileiro-a,2017,11,02-07,Coritiba,Vasco,2,2,EMPATE,9.0,6.0,0.6,0.2,0.56,0.44
193,brasileiro-a,2017,11,02-07,Atlético-MG,Cruzeiro,3,1,MANDANTE,8.0,13.0,0.47,0.47,0.41,0.44
194,brasileiro-a,2017,11,02-07,Corinthians,Botafogo,1,0,MANDANTE,1.0,10.0,0.53,0.87,0.56,0.93
195,brasileiro-a,2017,11,02-07,Flamengo,São Paulo,2,0,MANDANTE,3.0,17.0,0.13,0.73,0.41,0.59
196,brasileiro-a,2017,11,02-07,Sport Recife,Atlético-PR,1,0,MANDANTE,12.0,14.0,0.8,0.33,0.52,0.44
197,brasileiro-a,2017,11,02-07,Vitória,Bahia,0,0,EMPATE,18.0,16.0,0.07,0.47,0.26,0.26
198,brasileiro-a,2017,11,01-07,Atlético-GO,Santos,1,1,EMPATE,20.0,5.0,0.67,0.2,0.59,0.22
199,brasileiro-a,2017,11,01-07,Palmeiras,Grêmio,1,0,MANDANTE,4.0,2.0,0.67,0.8,0.7,0.48
200,brasileiro-a,2017,10,26-06,Botafogo,Avaí,0,2,VISITANTE,7.0,19.0,0.07,0.53,0.17,0.62
201,brasileiro-a,2017,10,25-06,Chapecoense,Atlético-MG,0,1,VISITANTE,13.0,14.0,0.47,0.2,0.38,0.5
202,brasileiro-a,2017,10,25-06,Bahia,Flamengo,0,1,VISITANTE,17.0,3.0,0.53,0.27,0.54,0.29
