,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
2728,brasileiro-a,2010,38,02-12,Barueri,Internacional,0,3,VISITANTE,20.0,7.0,0.4,0.27,0.37,0.23
2729,brasileiro-a,2010,37,28-11,Atlético-GO,São Paulo,1,1,EMPATE,16.0,9.0,0.47,0.33,0.57,0.47
2730,brasileiro-a,2010,37,28-11,Atlético-MG,Goias,3,1,MANDANTE,13.0,19.0,0.07,0.53,0.23,0.67
2731,brasileiro-a,2010,37,28-11,Avaí,Santos,3,2,MANDANTE,14.0,7.0,0.47,0.67,0.47,0.4
2732,brasileiro-a,2010,37,28-11,Botafogo,Barueri,3,1,MANDANTE,5.0,20.0,0.27,0.53,0.27,0.5
2733,brasileiro-a,2010,37,28-11,Ceará,Atlético-PR,1,1,EMPATE,11.0,6.0,0.6,0.27,0.5,0.5
2734,brasileiro-a,2010,37,28-11,Corinthians,Vasco,2,0,MANDANTE,2.0,12.0,0.27,0.73,0.33,0.53
2735,brasileiro-a,2010,37,28-11,Flamengo,Cruzeiro,1,2,VISITANTE,15.0,3.0,0.6,0.33,0.53,0.47
2736,brasileiro-a,2010,37,28-11,Guarani,Grêmio,0,3,VISITANTE,18.0,4.0,0.67,0.13,0.7,0.13
2737,brasileiro-a,2010,37,28-11,Internacional,Vitória,1,1,EMPATE,8.0,17.0,0.4,0.4,0.3,0.43
2738,brasileiro-a,2010,37,28-11,Palmeiras,Fluminense,1,2,VISITANTE,10.0,1.0,0.73,0.4,0.47,0.4
2739,brasileiro-a,2010,36,21-11,Goias,Santos,1,4,VISITANTE,19.0,7.0,0.27,0.27,0.37,0.27
2740,brasileiro-a,2010,36,21-11,Avaí,Atlético-GO,3,0,MANDANTE,16.0,15.0,0.53,0.47,0.47,0.3
2741,brasileiro-a,2010,36,21-11,Cruzeiro,Vasco,3,1,MANDANTE,3.0,11.0,0.33,0.4,0.43,0.53
2742,brasileiro-a,2010,36,21-11,Botafogo,Internacional,1,2,VISITANTE,6.0,8.0,0.27,0.73,0.33,0.53
2743,brasileiro-a,2010,36,21-11,Palmeiras,Atlético-MG,0,2,VISITANTE,10.0,14.0,0.53,0.4,0.6,0.5
2744,brasileiro-a,2010,36,21-11,São Paulo,Fluminense,1,4,VISITANTE,9.0,1.0,0.6,0.47,0.47,0.57
2745,brasileiro-a,2010,36,21-11,Vitória,Corinthians,1,1,EMPATE,17.0,2.0,0.87,0.33,0.53,0.27
2746,brasileiro-a,2010,36,20-11,Barueri,Ceará,1,1,EMPATE,20.0,12.0,0.4,0.4,0.5,0.33
2747,brasileiro-a,2010,36,20-11,Flamengo,Guarani,2,1,MANDANTE,13.0,18.0,0.13,0.2,0.13,0.4
2748,brasileiro-a,2010,36,20-11,Grêmio,Atlético-PR,3,1,MANDANTE,4.0,5.0,0.67,0.53,0.6,0.7
2749,brasileiro-a,2010,35,14-11,Atlético-PR,Barueri,2,1,MANDANTE,4.0,20.0,0.4,0.67,0.33,0.53
2750,brasileiro-a,2010,35,14-11,Vasco,São Paulo,1,1,EMPATE,11.0,9.0,0.6,0.27,0.53,0.4
