,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
203,brasileiro-a,2017,10,25-06,Atlético-PR,Vitória,4,1,MANDANTE
204,brasileiro-a,2017,10,25-06,Cruzeiro,Coritiba,2,0,MANDANTE
205,brasileiro-a,2017,10,25-06,Grêmio,Corinthians,0,1,VISITANTE
206,brasileiro-a,2017,10,25-06,Ponte Preta,Palmeiras,1,2,VISITANTE
207,brasileiro-a,2017,10,25-06,São Paulo,Fluminense,1,1,EMPATE
208,brasileiro-a,2017,10,25-06,Vasco,Atlético-GO,1,0,MANDANTE
209,brasileiro-a,2017,10,24-06,Santos,Sport Recife,0,1,VISITANTE
210,brasileiro-a,2017,9,22-06,Flamengo,Chapecoense,5,1,MANDANTE
211,brasileiro-a,2017,9,22-06,Grêmio,Coritiba,2,0,MANDANTE
212,brasileiro-a,2017,9,22-06,Corinthians,Bahia,3,0,MANDANTE
213,brasileiro-a,2017,9,22-06,Ponte Preta,Cruzeiro,1,0,MANDANTE
214,brasileiro-a,2017,9,21-06,Atlético-MG,Sport Recife,2,2,EMPATE
215,brasileiro-a,2017,9,21-06,Atlético-PR,São Paulo,1,0,MANDANTE
216,brasileiro-a,2017,9,21-06,Avaí,Fluminense,0,3,VISITANTE
217,brasileiro-a,2017,9,21-06,Botafogo,Vasco,3,1,MANDANTE
218,brasileiro-a,2017,9,21-06,Palmeiras,Atlético-GO,1,0,MANDANTE
219,brasileiro-a,2017,9,21-06,Vitória,Santos,0,2,VISITANTE
220,brasileiro-a,2017,8,19-06,Cruzeiro,Grêmio,3,3,EMPATE
221,brasileiro-a,2017,8,18-06,Sport Recife,Vitória,1,3,VISITANTE
222,brasileiro-a,2017,8,18-06,Bahia,Palmeiras,2,4,VISITANTE
223,brasileiro-a,2017,8,18-06,Chapecoense,Botafogo,0,2,VISITANTE
224,brasileiro-a,2017,8,18-06,Fluminense,Flamengo,2,2,EMPATE
225,brasileiro-a,2017,8,18-06,São Paulo,Atlético-MG,1,2,VISITANTE
226,brasileiro-a,2017,8,18-06,Coritiba,Corinthians,0,0,EMPATE
227,brasileiro-a,2017,8,17-06,Santos,Ponte Preta,0,0,EMPATE
228,brasileiro-a,2017,8,17-06,Vasco,Avaí,1,0,MANDANTE
229,brasileiro-a,2017,8,17-06,Atlético-GO,Atlético-PR,0,1,VISITANTE
230,brasileiro-a,2017,7,15-06,Fluminense,Grêmio,0,2,VISITANTE
231,brasileiro-a,2017,7,15-06,Coritiba,Bahia,0,0,EMPATE
232,brasileiro-a,2017,7,14-06,Chapecoense,Vasco,2,1,MANDANTE
233,brasileiro-a,2017,7,14-06,Corinthians,Cruzeiro,1,0,MANDANTE
234,brasileiro-a,2017,7,14-06,Santos,Palmeiras,1,0,MANDANTE
235,brasileiro-a,2017,7,14-06,Flamengo,Ponte Preta,2,0,MANDANTE
236,brasileiro-a,2017,7,14-06,Atlético-GO,Avaí,3,1,MANDANTE
237,brasileiro-a,2017,7,14-06,Atlético-MG,Atlético-PR,0,1,VISITANTE
238,brasileiro-a,2017,7,14-06,Sport Recife,São Paulo,0,0,EMPATE
239,brasileiro-a,2017,7,14-06,Vitória,Botafogo,2,2,EMPATE
240,brasileiro-a,2017,6,12-06,Grêmio,Bahia,1,0,MANDANTE
241,brasileiro-a,2017,6,11-06,Atlético-PR,Santos,0,2,VISITANTE
242,brasileiro-a,2017,6,11-06,Cruzeiro,Atlético-GO,2,0,MANDANTE
243,brasileiro-a,2017,6,11-06,Avaí,Flamengo,1,1,EMPATE
244,brasileiro-a,2017,6,11-06,Corinthians,São Paulo,3,2,MANDANTE
245,brasileiro-a,2017,6,11-06,Ponte Preta,Chapecoense,3,2,MANDANTE
246,brasileiro-a,2017,6,11-06,Vitória,Atlético-MG,2,0,MANDANTE
247,brasileiro-a,2017,6,11-06,Botafogo,Coritiba,2,2,EMPATE
248,brasileiro-a,2017,6,10-06,Vasco,Sport Recife,2,1,MANDANTE
249,brasileiro-a,2017,6,10-06,Palmeiras,Fluminense,3,1,MANDANTE
250,brasileiro-a,2017,5,08-06,Bahia,Cruzeiro,1,0,MANDANTE
251,brasileiro-a,2017,5,08-06,Chapecoense,Grêmio,3,6,VISITANTE
252,brasileiro-a,2017,5,08-06,Atlético-GO,Ponte Preta,3,0,MANDANTE
253,brasileiro-a,2017,5,08-06,São Paulo,Vitória,2,0,MANDANTE
254,brasileiro-a,2017,5,07-06,Sport Recife,Flamengo,2,0,MANDANTE
255,brasileiro-a,2017,5,07-06,Vasco,Corinthians,2,5,VISITANTE
256,brasileiro-a,2017,5,07-06,Santos,Botafogo,1,0,MANDANTE
257,brasileiro-a,2017,5,07-06,Atlético-MG,Avaí,1,0,MANDANTE
258,brasileiro-a,2017,5,07-06,Coritiba,Palmeiras,1,0,MANDANTE
259,brasileiro-a,2017,5,06-06,Fluminense,Atlético-PR,1,1,EMPATE
