,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
289,brasileiro-a,2017,17,31-07,Vasco,Atlético-PR,0,1,VISITANTE
290,brasileiro-a,2017,17,30-07,Cruzeiro,Vitória,0,0,EMPATE
291,brasileiro-a,2017,17,30-07,Grêmio,Santos,1,1,EMPATE
292,brasileiro-a,2017,17,30-07,Bahia,Sport Recife,1,3,VISITANTE
293,brasileiro-a,2017,17,30-07,Corinthians,Flamengo,1,1,EMPATE
294,brasileiro-a,2017,17,30-07,Coritiba,Atlético-MG,0,2,VISITANTE
295,brasileiro-a,2017,17,30-07,Chapecoense,Atlético-GO,1,2,VISITANTE
296,brasileiro-a,2017,17,29-07,Palmeiras,Avaí,2,0,MANDANTE
297,brasileiro-a,2017,17,29-07,Botafogo,São Paulo,3,4,VISITANTE
298,brasileiro-a,2017,16,24-07,São Paulo,Grêmio,1,1,EMPATE
299,brasileiro-a,2017,16,23-07,Atlético-GO,Botafogo,1,1,EMPATE
300,brasileiro-a,2017,16,23-07,Atlético-MG,Vasco,1,2,VISITANTE
301,brasileiro-a,2017,16,23-07,Atlético-PR,Ponte Preta,0,2,VISITANTE
302,brasileiro-a,2017,16,23-07,Avaí,Cruzeiro,1,0,MANDANTE
303,brasileiro-a,2017,16,23-07,Fluminense,Corinthians,0,1,VISITANTE
304,brasileiro-a,2017,16,23-07,Sport Recife,Palmeiras,0,2,VISITANTE
305,brasileiro-a,2017,16,23-07,Santos,Bahia,3,0,MANDANTE
306,brasileiro-a,2017,16,22-07,Flamengo,Coritiba,2,1,MANDANTE
307,brasileiro-a,2017,16,22-07,Vitória,Chapecoense,1,2,VISITANTE
308,brasileiro-a,2017,15,20-07,Atlético-PR,Botafogo,0,0,EMPATE
309,brasileiro-a,2017,15,20-07,Sport Recife,Atlético-GO,4,0,MANDANTE
310,brasileiro-a,2017,15,20-07,Fluminense,Cruzeiro,1,1,EMPATE
311,brasileiro-a,2017,15,19-07,Atlético-MG,Bahia,0,2,VISITANTE
312,brasileiro-a,2017,15,19-07,Flamengo,Palmeiras,2,2,EMPATE
313,brasileiro-a,2017,15,19-07,São Paulo,Vasco,1,0,MANDANTE
314,brasileiro-a,2017,15,19-07,Avaí,Corinthians,0,0,EMPATE
315,brasileiro-a,2017,15,19-07,Ponte Preta,Coritiba,4,0,MANDANTE
316,brasileiro-a,2017,15,19-07,Santos,Chapecoense,1,0,MANDANTE
317,brasileiro-a,2017,15,19-07,Vitória,Grêmio,1,3,VISITANTE
318,brasileiro-a,2017,14,17-07,Botafogo,Sport Recife,2,1,MANDANTE
319,brasileiro-a,2017,14,16-07,Bahia,Avaí,1,1,EMPATE
320,brasileiro-a,2017,14,16-07,Coritiba,Fluminense,1,2,VISITANTE
321,brasileiro-a,2017,14,16-07,Atlético-GO,Atlético-MG,1,2,VISITANTE
322,brasileiro-a,2017,14,16-07,Chapecoense,São Paulo,2,0,MANDANTE
323,brasileiro-a,2017,14,16-07,Cruzeiro,Flamengo,1,1,EMPATE
324,brasileiro-a,2017,14,16-07,Grêmio,Ponte Preta,3,1,MANDANTE
325,brasileiro-a,2017,14,16-07,Vasco,Santos,0,0,EMPATE
