,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
129,129,brasileiro-a,2017,32,05-11,Vasco,Vitória,1,1,EMPATE,8.0,17.0,0.13,0.73,0.4,0.63
130,130,brasileiro-a,2017,32,05-11,Bahia,Ponte Preta,2,0,MANDANTE,10.0,18.0,0.27,0.53,0.27,0.43
131,131,brasileiro-a,2017,32,05-11,Corinthians,Palmeiras,3,2,MANDANTE,1.0,4.0,0.73,0.27,0.7,0.3
132,132,brasileiro-a,2017,32,05-11,Cruzeiro,Atlético-PR,1,0,MANDANTE,5.0,11.0,0.53,0.47,0.4,0.6
133,133,brasileiro-a,2017,32,05-11,Grêmio,Flamengo,3,1,MANDANTE,3.0,7.0,0.53,0.33,0.5,0.37
134,134,brasileiro-a,2017,32,04-11,Coritiba,Avaí,4,0,MANDANTE,15.0,19.0,0.33,0.47,0.43,0.3
135,135,brasileiro-a,2017,32,04-11,Atlético-GO,São Paulo,0,1,VISITANTE,20.0,9.0,0.6,0.13,0.57,0.4
136,136,brasileiro-a,2017,32,04-11,Botafogo,Fluminense,1,2,VISITANTE,6.0,13.0,0.53,0.53,0.3,0.67
137,137,brasileiro-a,2017,32,04-11,Santos,Atlético-MG,3,1,MANDANTE,2.0,12.0,0.53,0.4,0.53,0.53
138,138,brasileiro-a,2017,31,30-10,Palmeiras,Cruzeiro,2,2,EMPATE,2.0,5.0,0.47,0.67,0.67,0.67
139,139,brasileiro-a,2017,31,29-10,Avaí,Grêmio,2,2,EMPATE,18.0,4.0,0.47,0.27,0.37,0.43
140,140,brasileiro-a,2017,31,29-10,Sport Recife,Coritiba,3,4,VISITANTE,15.0,16.0,0.33,0.33,0.23,0.2
141,141,brasileiro-a,2017,31,29-10,Vitória,Atlético-GO,1,1,EMPATE,19.0,20.0,0.27,0.27,0.37,0.47
142,142,brasileiro-a,2017,31,29-10,Atlético-MG,Botafogo,0,0,EMPATE,10.0,6.0,0.47,0.67,0.63,0.5
143,143,brasileiro-a,2017,31,29-10,Fluminense,Bahia,1,1,EMPATE,14.0,13.0,0.53,0.47,0.5,0.37
144,144,brasileiro-a,2017,31,29-10,Ponte Preta,Corinthians,1,0,MANDANTE,17.0,1.0,0.33,0.27,0.3,0.27
145,145,brasileiro-a,2017,31,28-10,Atlético-PR,Chapecoense,0,0,EMPATE,9.0,12.0,0.47,0.47,0.53,0.4
146,146,brasileiro-a,2017,31,28-10,Flamengo,Vasco,0,0,EMPATE,7.0,8.0,0.73,0.47,0.6,0.57
147,147,brasileiro-a,2017,31,28-10,São Paulo,Santos,2,1,MANDANTE,11.0,3.0,0.6,0.6,0.57,0.5
148,148,brasileiro-a,2017,30,23-10,Botafogo,Corinthians,2,1,MANDANTE,6.0,1.0,0.4,0.47,0.4,0.63
149,149,brasileiro-a,2017,30,22-10,Chapecoense,Fluminense,2,0,MANDANTE,11.0,13.0,0.47,0.47,0.4,0.43
150,150,brasileiro-a,2017,30,22-10,Ponte Preta,Avaí,1,2,VISITANTE,18.0,16.0,0.13,0.27,0.43,0.3
151,151,brasileiro-a,2017,30,22-10,Atlético-PR,Sport Recife,2,1,MANDANTE,9.0,15.0,0.4,0.27,0.23,0.4
152,152,brasileiro-a,2017,30,22-10,Bahia,Vitória,2,1,MANDANTE,12.0,17.0,0.47,0.53,0.47,0.4
153,153,brasileiro-a,2017,30,22-10,Cruzeiro,Atlético-MG,1,3,VISITANTE,5.0,10.0,0.47,0.67,0.5,0.67
154,154,brasileiro-a,2017,30,22-10,Grêmio,Palmeiras,1,3,VISITANTE,4.0,2.0,0.67,0.47,0.6,0.37
155,155,brasileiro-a,2017,30,22-10,Santos,Atlético-GO,1,0,MANDANTE,3.0,20.0,0.27,0.6,0.47,0.5
156,156,brasileiro-a,2017,30,22-10,São Paulo,Flamengo,2,0,MANDANTE,14.0,7.0,0.53,0.47,0.57,0.5
157,157,brasileiro-a,2017,30,21-10,Vasco,Coritiba,1,1,EMPATE,8.0,19.0,0.27,0.73,0.2,0.6
158,158,brasileiro-a,2017,29,19-10,Flamengo,Bahia,4,1,MANDANTE,6.0,13.0,0.53,0.53,0.5,0.47
159,159,brasileiro-a,2017,29,19-10,Sport Recife,Santos,1,1,EMPATE,14.0,4.0,0.53,0.33,0.5,0.2
160,160,brasileiro-a,2017,29,19-10,Palmeiras,Ponte Preta,2,0,MANDANTE,3.0,17.0,0.27,0.67,0.33,0.5
161,161,brasileiro-a,2017,29,19-10,Vitória,Atlético-PR,2,3,VISITANTE,16.0,9.0,0.27,0.47,0.4,0.57
162,162,brasileiro-a,2017,29,18-10,Avaí,Botafogo,1,1,EMPATE,19.0,7.0,0.6,0.13,0.63,0.43
163,163,brasileiro-a,2017,29,18-10,Corinthians,Grêmio,0,0,EMPATE,1.0,2.0,0.4,0.53,0.43,0.47
164,164,brasileiro-a,2017,29,18-10,Fluminense,São Paulo,3,1,MANDANTE,11.0,15.0,0.67,0.27,0.5,0.4
165,165,brasileiro-a,2017,29,18-10,Atlético-MG,Chapecoense,2,3,VISITANTE,10.0,12.0,0.47,0.53,0.33,0.5
166,166,brasileiro-a,2017,29,18-10,Atlético-GO,Vasco,0,1,VISITANTE,20.0,8.0,0.53,0.47,0.53,0.47
167,167,brasileiro-a,2017,29,18-10,Coritiba,Cruzeiro,1,0,MANDANTE,18.0,5.0,0.87,0.07,0.7,0.2
168,168,brasileiro-a,2017,28,16-10,Santos,Vitória,2,2,EMPATE,3.0,15.0,0.47,0.67,0.63,0.57
169,169,brasileiro-a,2017,28,15-10,Bahia,Corinthians,2,0,MANDANTE,10.0,1.0,0.53,0.4,0.57,0.43
170,170,brasileiro-a,2017,28,15-10,Coritiba,Grêmio,0,1,VISITANTE,19.0,2.0,0.2,0.13,0.43,0.3
171,171,brasileiro-a,2017,28,15-10,Atlético-GO,Palmeiras,1,3,VISITANTE,20.0,4.0,0.53,0.53,0.5,0.47
172,172,brasileiro-a,2017,28,15-10,Chapecoense,Flamengo,0,1,VISITANTE,16.0,7.0,0.33,0.47,0.37,0.37
173,173,brasileiro-a,2017,28,15-10,Fluminense,Avaí,1,0,MANDANTE,12.0,18.0,0.33,0.13,0.43,0.33
174,174,brasileiro-a,2017,28,15-10,Sport Recife,Atlético-MG,1,1,EMPATE,14.0,9.0,0.53,0.27,0.47,0.2
175,175,brasileiro-a,2017,28,14-10,São Paulo,Atlético-PR,2,1,MANDANTE,13.0,11.0,0.33,0.53,0.5,0.4
176,176,brasileiro-a,2017,28,14-10,Vasco,Botafogo,1,0,MANDANTE,8.0,6.0,0.8,0.53,0.63,0.43
177,177,brasileiro-a,2017,27,12-10,Palmeiras,Bahia,2,2,EMPATE,4.0,14.0,0.33,0.67,0.4,0.57
178,178,brasileiro-a,2017,27,12-10,Flamengo,Fluminense,1,1,EMPATE,7.0,16.0,0.07,0.47,0.33,0.37
179,179,brasileiro-a,2017,27,12-10,Ponte Preta,Santos,1,1,EMPATE,15.0,2.0,0.67,0.27,0.57,0.33
180,180,brasileiro-a,2017,27,12-10,Vitória,Sport Recife,1,2,VISITANTE,12.0,11.0,0.07,0.67,0.2,0.67
181,181,brasileiro-a,2017,27,11-10,Atlético-MG,São Paulo,1,0,MANDANTE,8.0,17.0,0.53,0.53,0.5,0.47
182,182,brasileiro-a,2017,27,11-10,Avaí,Vasco,1,2,VISITANTE,18.0,9.0,0.53,0.53,0.33,0.43
183,183,brasileiro-a,2017,27,11-10,Grêmio,Cruzeiro,0,1,VISITANTE,3.0,5.0,0.73,0.4,0.63,0.47
184,184,brasileiro-a,2017,27,11-10,Corinthians,Coritiba,3,1,MANDANTE,1.0,19.0,0.13,0.33,0.3,0.5
